level,model,accuracy,balanced_acc,macro_f1,roc_auc,pr_auc,rare
binary,Dummy (stratified),0.7451455135344536,0.49829091448006846,0.4982933126509002,0.49829091448006846,0.8505779918608327,attack 0.850
binary,LogReg (balanced),0.8167419718918436,0.886193537731512,0.7476705914075927,0.9323826420458965,0.9884399679958273,attack 0.787
binary,RandomForest (balanced),0.9171878433899644,0.907291528102547,0.8562669499461574,0.9694518217364703,0.9947834801651401,attack 0.921
binary,HistGB (balanced),0.8903014568115531,0.9272984297891935,0.8291451055836343,0.9693648531922143,0.9948419450687187,attack 0.875
binary,LightGBM (balanced),0.8997589984467134,0.9284518103413761,0.8400683718824891,0.9714283322114806,0.9951833396989344,attack 0.888
category,Dummy (stratified),0.1995098020956333,0.12500581699484287,0.124999859315568,,,Web-based 0.016 / Brute Force 0.007
category,LogReg (balanced),0.6812484401947382,0.6285555986790019,0.5692781178993711,,,Web-based 0.462 / Brute Force 0.404
category,RandomForest (balanced),0.8318055001992826,0.7211375060047989,0.7361432869048101,,,Web-based 0.325 / Brute Force 0.354
category,HistGB (balanced),0.8076084972603301,0.7632718731857104,0.7021108447841757,,,Web-based 0.627 / Brute Force 0.597
category,LightGBM (balanced),0.8235287544279845,0.7646816267157701,0.7235598577405972,,,Web-based 0.594 / Brute Force 0.532
