dataset,representation,n_features,accuracy,macro_f1,weighted_f1,mcc,normal_recall,attack_recall,explained_variance
nsl_kdd,raw_all_features,122,0.754347054648687,0.7538989270415251,0.7524446085492592,0.559127695147746,0.9251364432087323,0.6251071456401465,
nsl_kdd,mutual_info_top_30,30,0.7467175301632364,0.7461240412357562,0.744424158270992,0.546449628730576,0.9228709710637422,0.6134185303514377,
nsl_kdd,pca_30,30,0.7199254790631654,0.7181724666908582,0.7150943426040509,0.5083672785289195,0.9271959633405417,0.5630795605080652,0.9812959009312361
nsl_kdd,l1_selected,55,0.7513307310149042,0.7508206367229283,0.7492593481155274,0.5542962210515521,0.92462156317578,0.6201979272188888,
nsl_kdd,autoencoder_embedding_16,16,0.7580287437899219,0.7575919172458649,0.7561668676423686,0.5666334568920984,0.9291525074657605,0.6285358061248344,
ciciot2023_dev,raw_all_features,39,0.821175,0.7521142094775854,0.8439641122800958,0.5915860164879512,0.9843959731543624,0.7925969447708578,
ciciot2023_dev,mutual_info_top_30,30,0.8205,0.7514601878388438,0.843417209254519,0.5908236313657094,0.984731543624161,0.7917450058754406,
ciciot2023_dev,pca_30,30,0.818625,0.7494755075079544,0.8418722597885464,0.5879385361689294,0.9840604026845637,0.7896592244418331,0.9920005798339844
ciciot2023_dev,l1_selected,35,0.820925,0.7518765567268251,0.8437622629545276,0.5913244555567229,0.9845637583892617,0.7922737955346651,
ciciot2023_dev,autoencoder_embedding_16,16,0.835025,0.7627363717436173,0.8546728127708025,0.5948064904108632,0.9498322147651007,0.8149236192714454,
