dataset,task,config,accuracy,macro_f1,weighted_f1,roc_auc,pr_auc,mcc,normal_recall,attack_recall,param_count,best_epoch,epochs_ran,train_seconds,inference_seconds,name,hidden,activation,dropout,normalization,weighted_loss,focal_loss,label_smoothing,lr,batch_size,max_epochs,patience
nsl_kdd,binary,baseline_relu_1x64,0.7537260468417317,0.7532463416514226,0.7517396619691837,0.8209712735779287,0.8846976706532259,0.5586244338092113,0.9260632272680466,0.6233148912958778,8002,13,14,0.7188359170104377,0.001972291007405147,baseline_relu_1x64,"(64,)",relu,0.0,none,False,False,0.0,0.001,512,14,4
nsl_kdd,binary,activation_tanh,0.7576738821859474,0.7572964684814035,0.75597106287332,0.8187335816039676,0.8784421428495535,0.5642438669089017,0.9252394192153228,0.6308735291825762,8002,12,14,0.7994556250050664,0.004818999994313344,activation_tanh,"(64,)",tanh,0.0,none,False,False,0.0,0.001,512,14,4
nsl_kdd,binary,activation_gelu,0.7508427963094393,0.7503124420693137,0.7487188271148647,0.8186196564225159,0.8818608432090479,0.5537525237929631,0.9250334672021419,0.6190290656900179,8002,13,14,0.8051292910095071,0.0028997500048717484,activation_gelu,"(64,)",gelu,0.0,none,False,False,0.0,0.001,512,14,4
nsl_kdd,binary,dropout_0.30,0.7526171043293116,0.7521046511905088,0.750543793922858,0.8256565053429126,0.888599144437376,0.5570883918168006,0.9263721552878179,0.6211330164419855,8002,12,14,0.6928861659980612,0.001724750007269904,dropout_0.30,"(64,)",relu,0.3,none,False,False,0.0,0.001,512,14,4
nsl_kdd,binary,batchnorm,0.767876153300213,0.7676463374165824,0.766634369590497,0.8126501895587434,0.8842874299514477,0.5810285676672727,0.9278138193800844,0.6468479700771449,8130,11,14,0.7339312499971129,0.0018342089897487313,batchnorm,"(64,)",relu,0.0,batchnorm,False,False,0.0,0.001,512,14,4
nsl_kdd,binary,deeper_2x128_64,0.7663236337828248,0.7660633350680157,0.7649826800312686,0.8662201289036847,0.9082861287037874,0.578840384594266,0.9282257234064463,0.6438089301020806,24130,11,14,0.764969417010434,0.0038234579988056794,deeper_2x128_64,"(128, 64)",relu,0.0,none,False,False,0.0,0.001,512,14,4
nsl_kdd,binary,weighted_cross_entropy,0.761222498225692,0.7609115574177433,0.7597175141183389,0.8235888886794543,0.8865503300051797,0.569757656752888,0.9254453712285038,0.6369516091327048,8002,13,14,0.7157625420077238,0.0019151669985149056,weighted_cross_entropy,"(64,)",relu,0.0,none,True,False,0.0,0.001,512,14,4
nsl_kdd,binary,focal_loss,0.7700496806245565,0.7698722389092345,0.7689872979583801,0.8465593186934721,0.8928180054116475,0.5835737706914209,0.9260632272680466,0.6519909608041767,8002,13,14,0.7045056670031045,0.0018347919976804405,focal_loss,"(64,)",relu,0.0,none,False,True,0.0,0.001,512,14,4
nsl_kdd,binary,label_smoothing_0.05,0.7760379701916252,0.7759299432028082,0.7752486093460673,0.8010630617665943,0.8885153184433353,0.5928984956734057,0.9262691792812274,0.6623548663601652,8002,13,14,0.7872955000057118,0.0035837079922202975,label_smoothing_0.05,"(64,)",relu,0.0,none,False,False,0.05,0.001,512,14,4
