model,threshold_name,threshold,macro_f1,normal_recall,attack_recall,false_alerts_per_day,true_alerts_per_day,missed_attacks_per_day,total_alerts_per_day,operational_precision
LogReg,default_0.50,0.5,0.7535187848579559,0.9260632272680466,0.6237824359074262,73567.08886829366,3118.912179537131,1881.0878204628689,76686.0010478308,0.04067120643821021
LogReg,validation_F1,0.3699999999999999,0.7584937196450245,0.9209144269385232,0.6360944440115328,78690.14519616941,3180.472220057664,1819.5277799423359,81870.61741622708,0.03884754165084972
LogReg,validation_F2_attack_recall_weighted,0.13,0.78304445448042,0.9053650499433632,0.690485467154991,94161.77530635362,3452.4273357749553,1547.5726642250447,97614.20264212857,0.03536808417553931
LogReg_balanced,default_0.50,0.5,0.7538989270415251,0.9251364432087325,0.6251071456401465,74489.23900731122,3125.535728200732,1874.4642717992676,77614.77473551195,0.040269855048238275
LogReg_balanced,validation_F1,0.3699999999999999,0.7593642389067109,0.9199876428792092,0.6382763188654251,79612.29533518685,3191.3815943271256,1808.6184056728744,82803.67692951398,0.03854154444184605
LogReg_balanced,validation_F2_attack_recall_weighted,0.1699999999999999,0.7790960071035504,0.9083513541344866,0.6812904231278735,91190.40263618578,3406.4521156393675,1593.5478843606327,94596.85475182516,0.03601020482738242
ExtraTrees_balanced,default_0.50,0.5,0.7875817865402038,0.972299454227165,0.6487181485233383,27562.043043970807,3243.5907426166914,1756.4092573833084,30805.6337865875,0.10529212822197874
ExtraTrees_balanced,validation_F1,0.5099999999999999,0.7853081047408299,0.9724024302337556,0.6447440193251773,27459.58191741317,3223.7200966258865,1776.2799033741132,30683.302014039054,0.10506431462790031
ExtraTrees_balanced,validation_F2_attack_recall_weighted,0.3099999999999999,0.8126017649461187,0.9199876428792092,0.7314735447673966,79612.29533518685,3657.367723836983,1342.6322761630172,83269.66305902383,0.04392197097332482
HistGB_balanced,default_0.50,0.5,0.796826263012123,0.9717845741942128,0.6650042858256059,28074.34867675824,3325.0214291280295,1674.9785708719705,31399.370105886268,0.10589452647983871
HistGB_balanced,validation_F1,0.3199999999999999,0.8159269525173112,0.9709607661414892,0.6987454219590119,28894.03768921826,3493.7271097950597,1506.2728902049405,32387.76479901332,0.10787181923407986
HistGB_balanced,validation_F2_attack_recall_weighted,0.24,0.8230311813599127,0.969416126042632,0.7123042156939141,30430.954587581105,3561.5210784695705,1438.4789215304295,33992.475666050675,0.1047738068112106
