dataset,source,level,family,method,variant,comparison_label,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,attack_recall,normal_recall,mcc,fp_per_10k_benign,fn_per_10k_attack
nsl_kdd,method_lab,Level 0,naive_baseline,DummyClassifier,most_frequent,"DummyClassifier
most_frequent",0.4307576295244854,0.5,0.3010696016121532,0.2593760558246646,0.0,0.0,1.0,0.0,0.0,10000.0
nsl_kdd,method_lab,Level 0,naive_baseline,DummyClassifier,stratified,"DummyClassifier
stratified",0.4980482611781405,0.5027386458119911,0.4974058315272223,0.4998942501006301,0.5721213273747267,0.4688693212810722,0.5366079703429101,0.0054367247502978,4633.920296570899,5311.306787189277
nsl_kdd,method_lab,Level 1,logistic_regression,LogReg,l2_C1_unweighted,"LogReg
l2_C1_unweighted",0.7533711852377573,0.7743272590649317,0.7528907888295946,0.7513819381391682,0.9171733394516464,0.6230031948881789,0.9256513232416846,0.5578886548090612,743.4867675831532,3769.968051118211
nsl_kdd,method_lab,Level 1,logistic_regression,LogReg,l2_C1_balanced,"LogReg
l2_C1_balanced",0.7543914123491838,0.7750981267137375,0.7539535716309977,0.7525162017864372,0.9164383561643836,0.6255746902516949,0.92462156317578,0.5589513605571592,753.7843682421997,3744.253097483051
nsl_kdd,method_lab,Level 1,threshold_policy,LogReg,validation_F1_threshold_0.35,"LogReg
validation_F1_threshold_0.35",0.7624645138396026,0.7816005002292425,0.7622513745033687,0.7612655656030395,0.9137892872952634,0.643419309592457,0.9197816908660282,0.5690833176403773,802.1830913397177,3565.8069040754303
nsl_kdd,method_lab,Level 1,threshold_policy,LogReg,validation_F2_attack_weighted_0.15,"LogReg
validation_F2_attack_weighted_0.15",0.7860184528034067,0.8008488647719771,0.7860153388106761,0.78612838398864,0.9087475757885068,0.6937582794358295,0.9079394501081248,0.6010684049872235,920.605498918752,3062.4172056417046
nsl_kdd,method_lab,Level 1,logistic_regression,LogReg,l2_C0.1_balanced,"LogReg
l2_C0.1_balanced",0.7545244854506742,0.7753152204852876,0.7540748141976947,0.7526185137290202,0.9172287641477078,0.6251850697420712,0.9254453712285038,0.5595441968967032,745.5462877149624,3748.149302579288
nsl_kdd,method_lab,Level 1,logistic_regression,LogReg,l1_C0.1_balanced,"LogReg
l1_C0.1_balanced",0.7542583392476934,0.7750563962748476,0.753806307202237,0.7523453920408341,0.9169811320754716,0.6248733733343723,0.9252394192153228,0.559041571707222,747.6058078467717,3751.266266656277
nsl_kdd,method_lab,Level 1,logistic_regression,LogReg,elasticnet_balanced,"LogReg
elasticnet_balanced",0.7433907026259758,0.7654731159320701,0.7426554660727268,0.7407505627372548,0.9142957912062074,0.6060157406685888,0.9249304911955516,0.5424145227356157,750.6950880444857,3939.842593314112
nsl_kdd,method_lab,Level 4,tree_family,DecisionTree,balanced_depth18,"DecisionTree
balanced_depth18",0.8067334989354152,0.8204846270896805,0.806693817366235,0.8070773649172589,0.9223639625274068,0.7211875633133328,0.9197816908660282,0.6386568416063996,802.1830913397177,2788.1243668666716
nsl_kdd,method_lab,Level 4,tree_family,RandomForest,balanced_depth18,"RandomForest
balanced_depth18",0.7632185947480482,0.7886886686423649,0.7618899774608461,0.7594268283096318,0.9668618412856608,0.6047689550377932,0.9726083822469364,0.5970912922168555,273.91617753063537,3952.310449622068
nsl_kdd,method_lab,Level 4,tree_family,ExtraTrees,balanced_depth18,"ExtraTrees
balanced_depth18",0.7581618168914124,0.77872304985386,0.7577618984326308,0.7563988575720234,0.919613416714042,0.6302501363671784,0.9271959633405416,0.5659075362073238,728.0403665945835,3697.498636328216
nsl_kdd,method_lab,Level 4,boosting,HistGradientBoosting,default,"HistGradientBoosting
default",0.7951561391057488,0.8167538712875988,0.7947793369422256,0.7935615560369262,0.9696969696969696,0.6607963843216706,0.972711358253527,0.6437900897677079,272.88641746473076,3392.036156783293
nsl_kdd,method_lab,Level 4,linear_online,SGDClassifier,log_loss_balanced,"SGDClassifier
log_loss_balanced",0.7621540099361249,0.7817035444424921,0.7618960736656692,0.7608107946409215,0.9164901326792284,0.6405361178212421,0.9228709710637422,0.5700020926587055,771.2902893625785,3594.638821787579
nsl_kdd,method_lab,Level 4,instance_based,KNN,k5_train_cap,"KNN
k5_train_cap",0.7681422995031938,0.792925774632857,0.7670281751166572,0.7647970677819766,0.9665112855740924,0.6139639990649107,0.9718875502008032,0.6037970631033726,281.12449799196787,3860.360009350892
nsl_kdd,method_lab,Security ML,benign_only_anomaly,OneClassSVM,normal_only_nu0.05,"OneClassSVM
normal_only_nu0.05",0.7830021291696239,0.7996524557771494,0.7829825740623308,0.7826972888054666,0.918079393492682,0.67942024468168,0.9198846668726188,0.6010289079211368,801.1533312738133,3205.7975531831994
nsl_kdd,method_lab,Security ML,benign_only_anomaly,AutoEncoder,normal_only_q0.95,"AutoEncoder
normal_only_q0.95",0.8018541518807665,0.8165745800538067,0.801845024926156,0.8020312625228496,0.9240673154906732,0.7102781890438713,0.9228709710637422,0.6319983591536251,771.2902893625785,2897.2181095612877
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,dst_host_behavior,dst_host_behavior,0.7890347764371894,0.8087090804078916,0.7888437905425363,0.7879643540187796,0.947082918188863,0.666640691966025,0.950777468849758,0.6239010575892356,492.2253115024199,3333.593080339749
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,categorical_one_hot,categorical_one_hot,0.7817157558552165,0.7962804108316572,0.7817100756056186,0.7818642820338335,0.9026053327905555,0.6911088599703888,0.9014519616929256,0.5917403957295813,985.4803830707446,3088.9114002961114
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,protocol_service_flag,protocol_service_flag,0.7817157558552165,0.7962804108316572,0.7817100756056186,0.7818642820338335,0.9026053327905555,0.6911088599703888,0.9014519616929256,0.5917403957295813,985.4803830707446,3088.9114002961114
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,connection_count_rates,connection_count_rates,0.7661018452803406,0.7870124819710742,0.7656883868796256,0.764325327611376,0.9313099041533548,0.6360165199096081,0.9380084440325404,0.583110767397804,619.9155596745958,3639.83480090392
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,content_login_shell,content_login_shell,0.7590046132008517,0.7586952998542471,0.7561975783787335,0.7598203823120336,0.8050288540807914,0.7609288552949427,0.7564617444135516,0.5138962173770915,2435.3825558644835,2390.7114470505726
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,all_features,all_features,0.7544801277501775,0.7752386805773266,0.7540350370601633,0.7525860556897522,0.9169332723948812,0.6253409179459207,0.9251364432087325,0.5593301865012267,748.6355679126764,3746.590820540793
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,numeric_only,numeric_only,0.748624911284599,0.7706217798482752,0.7479401843749005,0.7461208504071738,0.9197516401124648,0.6117821242110185,0.9294614354855318,0.5525524973729881,705.3856451446813,3882.178757889815
nsl_kdd,feature_group_ablation,Feature groups,feature_ablation,LogReg,byte_volume,byte_volume,0.4582594038325053,0.522515571841059,0.3601156751873332,0.325411323524605,0.8514739229024944,0.0585210005454687,0.9865101431366492,0.1150073199337208,134.89856863350838,9414.789994545314
